theta_deg,pnp_theta_deg,theta_err_deg,distance_cm,reproj_rmse_px
22.5,22.4999952227,-4.7773e-06,100.0000034902,1.38857e-05
20.0,20.0000014066,1.4066e-06,99.9999999841,1.37541e-05
17.5,17.4999911895,-8.8105e-06,100.0000000288,1.44002e-05
15.0,14.9999987351,-1.2649e-06,99.9999978842,1.47743e-05
12.5,12.4999913665,-8.6335e-06,100.0000005301,2.03649e-05
10.0,9.9999973728,-2.6272e-06,99.9999997805,8.0922e-06
7.5,7.4999849942,-1.50058e-05,100.0000017459,2.06311e-05
5.0,5.0000167961,1.67961e-05,100.0000014637,5.46514e-05
2.5,2.4999967815,-3.2185e-06,100.0000026584,5.49171e-05
0.0,0.0,0.0,99.9999985159,0.0145778693
