step,commanded_theta_deg,detector_confidence,pnp_theta_deg,theta_err_deg,pnp_distance_cm,distance_err_cm,Cx_cm,Cy_cm,Cz_cm,centre_err_cm,reproj_rmse_px,n_ippe_solutions,predicted_1sigma_deg,z_score
0,22.5,0.8382,22.377858,-0.122142,99.888238,-0.111762,38.028756,0.01736,-92.365976,0.241219,0.120202,2,0.132477,0.921986
1,20.0,0.8429,19.815805,-0.184195,99.894317,-0.105683,33.863919,-0.003108,-93.979304,0.338258,0.214795,2,0.143946,1.279605
2,17.5,0.8566,17.64795,0.14795,99.907226,-0.092774,30.288623,-0.017117,-95.205319,0.274803,0.109734,2,0.166748,0.887268
3,15.0,0.8948,15.193615,0.193615,99.909336,-0.090664,26.184402,0.005516,-96.417076,0.349768,0.152289,2,0.188305,1.028199
4,12.5,0.8739,12.28453,-0.21547,99.900268,-0.099732,21.255436,-0.038502,-97.61285,0.390788,0.22827,2,0.227217,0.9483
5,10.0,0.8398,9.876386,-0.123614,99.899122,-0.100878,17.135004,-0.019156,-98.418626,0.238839,0.119338,2,0.301095,0.410549
6,7.5,0.8855,7.549758,0.049758,99.905664,-0.094336,13.126318,0.06769,-99.039572,0.144984,0.050849,2,0.398724,0.124793
7,5.0,0.9012,5.505319,0.505319,99.906267,-0.093733,9.584822,-0.04571,-99.445419,0.887679,0.445601,2,0.584177,0.86501
8,2.5,0.9306,4.04668,1.54668,99.914725,-0.085275,7.050835,-0.433022,-99.664691,2.734106,1.411798,2,1.009833,1.53162
9,0.0,0.8284,0.01709,0.01709,99.955101,-0.044899,0.029814,0.018388,-99.955095,0.056951,0.010711,2,2.04559,0.008354
