step,theta_deg,Cx_cm,Cy_cm,Cz_cm,radius_cm,arc_cm,chord_cm,yaw_about_camera_y_deg,camera_displacement_cm
0,22.5,38.26834324,0.0,-92.38795325,100.0,0.0,0.0,0.0,0.0
1,20.0,34.20201433,0.0,-93.96926208,100.0,4.36332313,4.36297701,-2.5,4.362977
2,17.5,30.07057995,0.0,-95.37169507,100.0,4.36332313,4.36297701,-2.5,4.362977
3,15.0,25.88190451,0.0,-96.59258263,100.0,4.36332313,4.36297701,-2.5,4.362977
4,12.5,21.64396139,0.0,-97.62960071,100.0,4.36332313,4.36297701,-2.5,4.362977
5,10.0,17.36481777,0.0,-98.4807753,100.0,4.36332313,4.36297701,-2.5,4.362977
6,7.5,13.05261922,0.0,-99.14448614,100.0,4.36332313,4.36297701,-2.5,4.362977
7,5.0,8.71557427,0.0,-99.61946981,100.0,4.36332313,4.36297701,-2.5,4.362977
8,2.5,4.36193874,0.0,-99.90482216,100.0,4.36332313,4.36297701,-2.5,4.362977
9,0.0,0.0,0.0,-100.0,100.0,4.36332313,4.36297701,-2.5,4.362977
