step,direction,dx_px,dy_px,distance_px,distance_cm,window_x,window_y
1,LEFT,-8.5,0.0,8.5,0.6182,392,380
2,LEFT,-8.5,0.0,8.5,0.6182,383,380
3,LEFT,-8.5,0.0,8.5,0.6182,374,380
4,LEFT,-8.5,0.0,8.5,0.6182,366,380
5,LEFT,-8.5,0.0,8.5,0.6182,358,380
6,LEFT,-8.5,0.0,8.5,0.6182,349,380
7,LEFT,-8.5,0.0,8.5,0.6182,340,380
8,LEFT,-8.5,0.0,8.5,0.6182,332,380
9,LEFT,-8.5,0.0,8.5,0.6182,324,380
10,LEFT,-8.5,0.0,8.5,0.6182,315,380
11,LEFT,-8.5,0.0,8.5,0.6182,306,380
12,LEFT,-8.5,0.0,8.5,0.6182,298,380
13,LEFT,-8.5,0.0,8.5,0.6182,290,380
14,LEFT,-8.5,0.0,8.5,0.6182,281,380
15,LEFT,-8.5,0.0,8.5,0.6182,272,380
16,LEFT,-8.5,0.0,8.5,0.6182,264,380
17,LEFT,-8.5,0.0,8.5,0.6182,256,380
18,LEFT,-8.5,0.0,8.5,0.6182,247,380
19,LEFT,-8.5,0.0,8.5,0.6182,238,380
20,LEFT,-8.5,0.0,8.5,0.6182,230,380
21,LEFT,-8.5,0.0,8.5,0.6182,222,380
22,LEFT,-8.5,0.0,8.5,0.6182,213,380
23,LEFT,-8.5,0.0,8.5,0.6182,204,380
24,LEFT,-8.5,0.0,8.5,0.6182,196,380
25,LEFT,-8.5,0.0,8.5,0.6182,188,380
26,LEFT,-8.5,0.0,8.5,0.6182,179,380
27,LEFT,-8.5,0.0,8.5,0.6182,170,380
28,LEFT,-8.5,0.0,8.5,0.6182,162,380
29,LEFT,-8.5,0.0,8.5,0.6182,154,380
30,LEFT,-8.5,0.0,8.5,0.6182,145,380
31,LEFT,-8.5,0.0,8.5,0.6182,136,380
32,LEFT,-8.5,0.0,8.5,0.6182,128,380
33,LEFT,-3.0,0.0,3.0,0.2182,125,380
34,UP,0.0,-8.5,8.5,0.6564,125,372
35,UP,0.0,-8.5,8.5,0.6564,125,363
36,UP,0.0,-8.5,8.5,0.6564,125,354
37,UP,0.0,-8.5,8.5,0.6564,125,346
38,UP,0.0,-8.5,8.5,0.6564,125,338
39,UP,0.0,-8.5,8.5,0.6564,125,329
40,UP,0.0,-8.5,8.5,0.6564,125,320
41,UP,0.0,-8.5,8.5,0.6564,125,312
42,UP,0.0,-8.5,8.5,0.6564,125,304
43,UP,0.0,-8.5,8.5,0.6564,125,295
44,UP,0.0,-8.5,8.5,0.6564,125,286
45,UP,0.0,-8.5,8.5,0.6564,125,278
46,UP,0.0,-8.5,8.5,0.6564,125,270
47,UP,0.0,-8.5,8.5,0.6564,125,261
48,UP,0.0,-8.5,8.5,0.6564,125,252
49,UP,0.0,-8.5,8.5,0.6564,125,244
50,UP,0.0,-8.5,8.5,0.6564,125,236
51,UP,0.0,-8.5,8.5,0.6564,125,227
52,UP,0.0,-8.5,8.5,0.6564,125,218
53,UP,0.0,-8.5,8.5,0.6564,125,210
54,UP,0.0,-8.5,8.5,0.6564,125,202
55,UP,0.0,-8.5,8.5,0.6564,125,193
56,UP,0.0,-8.5,8.5,0.6564,125,184
57,UP,0.0,-8.5,8.5,0.6564,125,176
58,UP,0.0,-8.5,8.5,0.6564,125,168
59,UP,0.0,-8.5,8.5,0.6564,125,159
60,UP,0.0,-8.5,8.5,0.6564,125,150
61,UP,0.0,-8.5,8.5,0.6564,125,142
62,UP,0.0,-8.5,8.5,0.6564,125,134
63,UP,0.0,-8.5,8.5,0.6564,125,125
64,UP,0.0,-8.5,8.5,0.6564,125,116
65,UP,0.0,-0.5,0.5,0.0386,125,116
