x,y,w,h,crop_std,status,loc_err_px,score,plan_status,n_steps,optimal_steps,goal_reached
195,49,65,106,69.191,ok,0.0,1.0,ok,11,11,True
324,130,195,70,31.874,ok,0.0,1.0,ok,40,40,True
157,182,222,207,88.214,ok,0.0,0.9999999403953552,ok,11,11,True
304,18,108,77,48.941,ambiguous,,1.0,ambiguous,0,0,
142,95,72,170,74.535,ok,0.0,1.0,already_visible,0,0,True
247,126,95,161,71.484,ambiguous,,1.0,ambiguous,0,0,
277,78,74,161,66.157,ambiguous,,1.0,ambiguous,0,0,
472,246,129,172,61.166,ambiguous,,1.0,ambiguous,0,0,
255,243,244,179,65.687,ok,0.0,1.0,ok,30,30,True
208,244,231,81,73.715,ambiguous,,1.0,ambiguous,0,0,
374,268,213,235,50.706,ok,0.0,1.0,ok,39,39,True
247,448,192,96,40.965,ambiguous,,1.0,ambiguous,0,0,
196,258,214,254,63.556,ok,0.0,0.9999989867210388,ok,21,21,True
280,388,249,157,50.724,ambiguous,,0.999997615814209,ambiguous,0,0,
95,178,251,161,89.267,ok,0.0,1.0,ok,8,8,True
79,260,191,90,59.58,ambiguous,,1.0,ambiguous,0,0,
177,223,99,70,78.17,ambiguous,,0.9999997615814209,ambiguous,0,0,
322,232,76,240,73.15,ok,0.0,1.0,ok,52,52,True
351,168,113,200,55.917,ok,0.0,1.0,ok,30,30,True
85,171,114,170,66.775,ok,0.0,1.0,already_visible,0,0,True
22,196,182,121,67.36,ok,0.0,0.999999463558197,ok,21,21,True
99,95,181,224,84.956,ok,0.0,0.999999463558197,already_visible,0,0,True
461,134,72,252,49.187,ambiguous,,1.0,ambiguous,0,0,
347,403,71,107,45.549,ambiguous,,1.0,ambiguous,0,0,
100,243,220,115,72.34,ok,0.0,0.9999992847442627,ok,12,12,True
352,93,233,227,54.902,ok,0.0,1.0,ok,20,20,True
314,63,160,137,45.198,ambiguous,,1.0,ambiguous,0,0,
394,129,84,150,0.0,featureless,,,featureless,0,0,
253,44,227,180,51.641,ok,0.0,0.9999976754188538,ok,17,17,True
495,258,70,233,44.283,ok,0.0,0.9999969601631165,ok,113,113,True
9,9,228,142,72.253,ok,0.0,0.9999994039535522,ok,15,15,True
311,71,87,232,70.426,ok,0.0,0.9999990463256836,ok,29,29,True
156,289,254,108,68.933,ok,0.0,1.0,ok,21,21,True
185,260,146,233,64.514,ok,0.0,1.0,ok,29,29,True
24,240,137,92,54.981,ambiguous,,1.0,ambiguous,0,0,
50,177,146,209,60.96,ok,0.0,0.9999998807907104,ok,16,16,True
383,426,174,80,42.231,ok,0.0,0.9999978542327881,ok,113,113,True
99,156,173,146,86.147,ok,0.0,0.9999997019767761,ok,6,6,True
415,377,61,103,43.523,ambiguous,,1.0,ambiguous,0,0,
231,269,162,80,68.114,ambiguous,,0.999999463558197,ambiguous,0,0,
200,430,200,95,43.755,ambiguous,,1.0,ambiguous,0,0,
232,317,157,137,68.692,ok,0.0,0.9999995231628418,ok,46,46,True
204,168,189,145,89.694,ok,0.0,1.0,ok,19,19,True
297,289,161,85,71.873,ok,0.0,0.9999994039535522,ok,54,54,True
260,288,234,191,58.624,ok,0.0,0.9999997615814209,ok,34,34,True
265,160,163,248,72.917,ok,0.0,1.0,ok,24,24,True
417,234,161,178,43.231,ambiguous,,1.0,ambiguous,0,0,
366,187,209,246,45.38,ok,0.0,0.9999988675117493,ok,31,31,True
316,179,229,196,62.483,ok,0.0,1.0,ok,27,27,True
464,350,82,136,47.84,ok,0.0,0.9999993443489075,ok,112,112,True
314,226,107,207,69.697,ok,0.0,0.9999991059303284,ok,35,35,True
416,40,155,173,41.262,ok,0.0,0.9999985694885254,ok,42,42,True
183,18,225,168,65.646,ok,0.0,1.0,ok,14,14,True
362,92,237,193,57.007,ok,0.0,1.0,ok,25,25,True
400,247,152,244,43.29,ok,0.0,0.999998927116394,ok,55,55,True
292,269,89,255,66.493,ok,0.0,0.9999986290931702,ok,46,46,True
392,24,104,227,42.816,ok,0.0,1.0,ok,40,40,True
283,167,114,254,76.69,ok,0.0,1.0,ok,18,18,True
427,308,111,223,44.44,ok,0.0,1.0,ok,68,68,True
218,32,160,132,47.773,ambiguous,,1.0,ambiguous,0,0,
498,32,78,138,26.108,ok,0.0,0.9999932050704956,ok,83,83,True
26,286,173,192,51.528,ok,0.0,0.9999992251396179,ok,26,26,True
222,281,174,181,72.131,ok,0.0,0.9999991655349731,ok,31,31,True
254,239,126,184,74.779,ok,0.0,1.0,ok,41,41,True
234,46,107,69,0.0,featureless,,,featureless,0,0,
291,303,180,224,52.645,ok,0.0,0.9999983310699463,ok,40,40,True
470,123,100,133,47.547,ambiguous,,1.0,ambiguous,0,0,
352,188,107,239,51.968,ok,0.0,1.0,ok,35,35,True
327,158,89,177,75.004,ok,0.0,0.9999994039535522,ok,32,32,True
292,442,253,62,5.866,ok,0.0,1.0,ok,121,121,True
224,208,75,164,80.663,ok,0.0,1.0,ok,20,20,True
313,221,225,243,59.112,ok,0.0,0.9999998807907104,ok,27,27,True
143,48,92,98,75.214,ok,0.0,0.9999992847442627,ok,7,7,True
47,68,248,108,74.643,ok,0.0,1.0,ok,1,1,True
128,25,120,226,86.717,ok,0.0,1.0,ok,1,1,True
149,120,167,86,69.709,ok,0.0,0.9999996423721313,already_visible,0,0,True
386,218,204,256,50.442,ok,0.0,1.0,ok,36,36,True
486,12,113,71,65.188,ambiguous,,0.9999988079071045,ambiguous,0,0,
154,105,156,117,87.362,ok,0.0,0.9999999403953552,already_visible,0,0,True
