variant,marker_found,outer_side_px,border_px,circularity,confidence,marker_dist_rel_err,marker_radius_rel_err
original,True,534.0,6.0,0.834,0.938,0.0,0.0
scale x0.5,True,267.0,2.0,0.848,0.972,0.00045,0.00059
scale x0.75,True,401.0,4.0,0.894,0.922,0.00071,0.00056
scale x1.25,True,668.0,6.0,0.811,0.935,0.00032,0.0003
scale x1.5,True,802.5,8.0,0.852,0.926,4e-05,6e-05
noise sigma=4,True,534.0,6.0,0.833,0.91,1e-05,4e-05
noise sigma=10,True,534.04,6.0,0.83,0.94,0.00017,1e-05
noise sigma=16,True,534.71,6.0,0.83,0.967,0.001,0.00029
blur sigma=2,True,538.5,4.0,0.891,0.955,0.0016,0.00099
blur sigma=4,True,544.5,5.44,0.906,0.967,0.00505,0.00111
jpeg q=70,True,534.0,6.0,0.833,0.938,0.0,1e-05
jpeg q=35,True,534.0,6.0,0.828,0.931,6e-05,7e-05
rotated 17 deg,True,534.73,5.6,0.812,0.928,9e-05,0.00026
rotated 90 deg,True,534.0,6.0,0.834,0.907,0.0,2e-05
rotated 243 deg,True,534.8,4.39,0.782,0.961,0.00037,0.0001
