theta_deg,predicted,from_projection,from_rendered_image,proj_rel_err,image_rel_err,right_taller_projection,right_taller_image
22.5,1.1657601,1.1657601,1.16621364,0.0,0.00038905,True,True
20.0,1.14685342,1.14685342,1.14754016,0.0,0.0005988,True,True
17.5,1.12797913,1.12797913,1.12825922,0.0,0.0002483,True,True
15.0,1.10917915,1.10917915,1.10941857,0.0,0.00021586,True,True
12.5,1.0904931,1.0904931,1.09091135,0.0,0.00038353,True,True
10.0,1.07195836,1.07195836,1.07217678,0.0,0.00020376,True,True
7.5,1.05360998,1.05360998,1.05372341,0.0,0.00010766,True,True
5.0,1.03548077,1.03548077,1.03563915,0.0,0.00015296,True,True
2.5,1.01760131,1.01760131,1.01756632,0.0,3.438e-05,True,True
0.0,1.0,1.0,1.0,0.0,0.0,True,False
