theta_deg,residual_after_similarity_px,as_pct_of_port_width,A_near_far_ratio,B_near_far_ratio
22.5,11.31177323,2.05668604,1.1657601,1.1657601
20.0,11.36577174,2.06650395,1.14685342,1.14685342
17.5,11.40383833,2.07342515,1.12797913,1.12797913
15.0,11.42716798,2.07766691,1.10917915,1.10917915
12.5,11.43687173,2.07943122,1.0904931,1.0904931
10.0,11.4339738,2.07890433,1.07195836,1.07195836
7.5,11.4194096,2.07625629,1.05360998,1.05360998
5.0,11.3940243,2.07164078,1.03548077,1.03548077
2.5,11.35857159,2.06519484,1.01760131,1.01760131
0.0,11.31371254,2.05703864,1.0,1.0
