true_deg,estimated_deg,error_deg,marker_only_deg,marker_only_err,edge_mod90_deg,refined,residual_deg,confidence,status
0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.938,ok
7.5,7.501,0.001,7.4999,-0.0001,7.501,True,0.0011,0.938,ok
23.0,22.9998,-0.0002,23.009,0.009,22.9998,True,0.0092,0.938,ok
45.0,45.0,0.0,45.0555,0.0555,45.0,True,0.0555,0.938,ok
90.0,90.0,-0.0,89.9963,-0.0037,90.0,True,0.0037,0.907,ok
137.25,137.2491,-0.0009,137.2474,-0.0026,47.2491,True,0.0017,0.938,ok
180.0,180.0,-0.0,179.9351,-0.0649,90.0,True,0.0649,0.921,ok
222.5,222.5011,0.0011,222.5377,0.0377,42.5011,True,0.0366,0.927,ok
270.0,270.0,-0.0,269.929,-0.071,90.0,True,0.071,0.92,ok
313.7,313.7018,0.0018,313.6816,-0.0184,43.7018,True,0.0201,0.908,ok
359.0,359.0043,0.0043,358.9998,-0.0002,89.0043,True,0.0045,0.934,ok
