interpolation,degradation,level,n,detected,MAE_deg,max_err_deg,mean_conf,status_ok_rate
nearest,clean,0.0,5,5,0.001136,0.002005,0.935038,1.0
nearest,noise,4.0,5,5,0.001136,0.002005,0.935163,1.0
nearest,noise,10.0,5,5,0.003686,0.005954,0.938258,1.0
nearest,noise,16.0,5,5,0.015134,0.027515,0.938485,1.0
nearest,blur,1.5,5,5,0.000702,0.001743,0.938485,1.0
nearest,blur,3.0,5,5,0.001745,0.003102,0.936562,1.0
nearest,jpeg,70.0,5,5,0.010093,0.017371,0.933236,1.0
nearest,jpeg,35.0,5,5,0.020352,0.045812,0.93599,1.0
nearest,scale,0.5,5,5,0.002639,0.006005,0.929091,1.0
nearest,scale,0.75,5,5,0.00253,0.003385,0.936333,1.0
nearest,scale,1.25,5,5,0.001917,0.002833,0.925,1.0
nearest,scale,1.5,5,5,0.000544,0.000706,0.93039,1.0
linear,clean,0.0,5,5,0.000537,0.000929,0.938294,1.0
linear,noise,4.0,5,5,0.000828,0.00195,0.93801,1.0
linear,noise,10.0,5,5,0.006552,0.012727,0.938408,1.0
linear,noise,16.0,5,5,0.023139,0.044323,0.937986,1.0
linear,blur,1.5,5,5,0.000843,0.002692,0.93816,1.0
linear,blur,3.0,5,5,0.001362,0.004235,0.934659,1.0
linear,jpeg,70.0,5,5,0.002442,0.005144,0.936412,1.0
linear,jpeg,35.0,5,5,0.012741,0.017082,0.936884,1.0
linear,scale,0.5,5,5,0.003767,0.005282,0.928624,1.0
linear,scale,0.75,5,5,0.002008,0.003933,0.934736,1.0
linear,scale,1.25,5,5,0.001257,0.002055,0.933403,1.0
linear,scale,1.5,5,5,0.001006,0.001878,0.935806,1.0
cubic,clean,0.0,5,5,0.002001,0.003922,0.938059,1.0
cubic,noise,4.0,5,5,0.002702,0.004082,0.938161,1.0
cubic,noise,10.0,5,5,0.008425,0.020062,0.938075,1.0
cubic,noise,16.0,5,5,0.00809,0.021329,0.93662,1.0
cubic,blur,1.5,5,5,0.001212,0.001775,0.938485,1.0
cubic,blur,3.0,5,5,0.001344,0.002793,0.933788,1.0
cubic,jpeg,70.0,5,5,0.004517,0.010371,0.938053,1.0
cubic,jpeg,35.0,5,5,0.009167,0.023057,0.938178,1.0
cubic,scale,0.5,5,5,0.003659,0.008359,0.930337,1.0
cubic,scale,0.75,5,5,0.001812,0.003198,0.93453,1.0
cubic,scale,1.25,5,5,0.00159,0.003134,0.932552,1.0
cubic,scale,1.5,5,5,0.001432,0.003032,0.935563,1.0
